F0semitoneFrom27_5Hz_sma3nz_amean,F0semitoneFrom27_5Hz_sma3nz_stddevNorm,F0semitoneFrom27_5Hz_sma3nz_percentile20_0,F0semitoneFrom27_5Hz_sma3nz_percentile50_0,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,F0semitoneFrom27_5Hz_sma3nz_pctlrange0_2,F0semitoneFrom27_5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27_5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20_0,loudness_sma3_percentile50_0,loudness_sma3_percentile80_0,loudness_sma3_pctlrange0_2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0_H1_H2_sma3nz_amean,logRelF0_H1_H2_sma3nz_stddevNorm,logRelF0_H1_A3_sma3nz_amean,logRelF0_H1_A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0_500_sma3nz_amean,slopeV0_500_sma3nz_stddevNorm,slopeV500_1500_sma3nz_amean,slopeV500_1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0_500_sma3nz_amean,slopeUV500_1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
37.35468,0.09828655,34.2999,36.05748,40.33006,6.030163,176.3407,226.1634,45.68981,33.99764,1.301522,0.3726069,0.8438219,1.257394,1.762869,0.9190466,12.72977,7.991343,12.07149,4.846515,0.9769056,0.5255678,20.43075,0.5370683,5.520537,1.149884,3.316886,3.124276,-34.09369,-0.3818375,0.04006818,0.9957607,1.57535,0.6119608,7.106329,0.4894097,8.05566,1.548386,28.41999,0.2991449,697.3165,0.1906001,1340.763,0.1406705,-44.33224,-1.626042,1748.674,0.1176351,1059.734,0.3129752,-53.88487,-1.172465,2640.023,0.08174579,1162.151,0.3227965,-56.81251,-1.083609,-17.54634,-0.3714009,25.22767,0.3447451,0.0902852,0.1553846,-0.03561679,-0.2868732,1.098148,0.4439471,22.50114,0.4212053,5.012539,1.245381,4.850231,2.06635,-36.45986,-0.3527974,-10.358,17.15769,0.08384214,-0.02723596,0.5645224,6.015038,3.125,0.2525,0.1398883,0.0475,0.03112475,-13.15511
29.32461,0.154568,25.82095,26.43796,32.88839,7.067442,47.60929,30.17474,46.03853,28.82499,0.9796674,0.7911427,0.3328213,0.7665101,1.534702,1.201881,15.12144,10.84129,13.01362,5.909319,0.5425006,0.9411522,21.25871,0.5899839,1.199661,8.062898,14.13609,1.143854,-16.17984,-0.7605039,0.05066567,1.096411,1.724527,0.8137764,5.230113,0.656377,-0.709832,-20.01839,16.80929,0.5104214,587.7244,0.3272136,1580.214,0.1985698,-75.28288,-1.193868,1533.902,0.1545762,1144.761,0.3499949,-79.07473,-1.088381,2513.966,0.09047655,956.749,0.1593487,-82.00175,-1.022709,-14.20323,-0.4284507,21.80825,0.3376229,0.0640829,0.3044505,-0.02835451,-0.4143919,0.7460125,0.68466,25.90701,0.420765,1.10984,9.007404,18.50446,0.8480256,-18.19662,-0.6759356,-6.119934,13.18589,0.04137329,-0.01076351,0.2284703,5,2.857143,0.216,0.108,0.09333333,0.05527708,-16.07768
30.65494,0.08887123,27.85713,30.72222,33.16611,5.308985,42.37431,3.301761,17.46614,7.25273,0.9331194,0.47499,0.5995721,0.8351903,1.248766,0.6491938,11.36169,9.36822,9.06973,6.707318,0.6162024,0.7685052,27.95944,0.2686569,1.367627,4.747745,6.198344,1.952253,-15.8734,-0.6398327,0.05123549,1.121742,1.562162,0.4489531,4.713281,0.6417955,-1.737135,-5.88782,22.41394,0.2282771,633.4223,0.3285243,1457.836,0.1144455,-90.26123,-1.010062,1605.276,0.1068925,1160.297,0.2228724,-95.23136,-0.8926291,2512.136,0.05362242,1043.153,0.3107372,-97.29098,-0.8592368,-14.80302,-0.3128354,23.11996,0.248686,0.0656396,0.205812,-0.02629157,-0.4742936,0.7067974,0.7785413,27.75943,0.285606,1.636735,4.579367,11.3671,1.116051,-13.92479,-0.8173954,-14.60699,26.02777,0.06543795,-0.02798911,0.5510249,3.90625,4.065041,0.13,0.08555699,0.07833333,0.06039223,-18.83983
32.74956,0.08653762,31.58436,33.2774,35.42038,3.836021,13.17543,1.596113,15.99519,0,1.354004,0.4428073,0.7225538,1.453469,1.911868,1.189314,11.01463,3.27571,7.170866,4.710093,0.684863,0.6125005,29.39874,0.2048288,2.339327,2.855149,19.90662,0.8473696,-47.63829,-0.390811,0.01757312,1.051551,1.15135,0.8107792,7.424813,0.4527689,0.825367,8.41083,22.44079,0.2252023,680.8811,0.1766407,1309.444,0.1465601,-31.70358,-2.152198,1745.919,0.1689606,1009.729,0.2808868,-44.48811,-1.406875,2643.675,0.04865726,921.0811,0.326422,-42.93954,-1.465569,-14.07321,-0.3056651,20.38454,0.3356675,0.0529277,0.3270274,-0.03977387,-0.2400225,0.7890748,0.516364,29.42383,0.2103753,2.997991,2.375149,23.154,0.7258486,-52.89761,-0.2919972,-15.43839,24.94871,0.02692118,-0.0260298,0.285606,3.703704,1.538462,0.545,0.385,0.085,0.005,-14.44079
38.79272,0.03582169,37.56811,38.38435,40.26639,2.69828,24.56956,8.139163,12.22565,4.738805,1.229762,0.4696314,0.7598411,1.10962,1.562641,0.8028002,13.8388,6.551425,11.68831,4.475805,0.7400892,0.8420767,25.77357,0.2940105,-11.27746,-0.8688942,16.94579,0.6043254,-33.47602,-0.3033807,0.02315848,0.8571298,1.162152,0.5470765,8.188068,0.4083505,16.27261,0.5082663,21.15085,0.2793266,661.2909,0.150161,1413.014,0.1122336,-29.30816,-1.898186,1713.453,0.07848935,1104.016,0.2545513,-38.37935,-1.293567,2477.043,0.06742029,1154.545,0.4190272,-36.678,-1.364598,-13.64564,-0.4099128,18.75421,0.3531275,0.07788186,0.1815193,-0.03699059,-0.2870178,0.7721727,0.8270683,26.24721,0.2828831,-10.57711,-0.9042236,17.34205,0.6184446,-33.84991,-0.3090718,-5.565637,10.17475,0.07175754,-0.0254141,0.6435754,5.732484,1.986755,0.4433333,0.1666,0.04,0.008164966,-15.67469
37.62634,0.0395398,36.71486,37.69365,37.96857,1.253716,37.49872,14.42135,11.63606,5.002544,1.471443,0.4457969,0.8698441,1.442799,2.054368,1.184524,18.6628,13.87268,17.31294,11.14529,0.8862836,0.6507563,23.22422,0.4458235,-6.925865,-1.432897,7.197986,1.920434,-26.7727,-0.3590969,0.02092114,0.9481931,1.127204,0.7802088,8.623429,0.4433634,10.0135,1.004684,24.71713,0.2974927,687.5485,0.1734444,1404.13,0.137651,-74.35698,-1.153089,1664.5,0.1062997,985.4248,0.1916984,-79.83285,-0.9905434,2653.473,0.05932654,954.4612,0.2106886,-83.76508,-0.9130446,-13.50957,-0.4644986,22.35048,0.3208873,0.07544877,0.240162,-0.02847787,-0.4448285,0.9865912,0.5310325,26.25626,0.2965426,-5.922184,-1.729262,9.739773,1.356132,-29.05077,-0.3642258,-5.365624,14.96141,0.04825461,-0.01952154,0.7870755,5.97015,4.651163,0.1316667,0.09044642,0.05285714,0.02864277,-14.53832
45.34565,0.02619835,44.27426,45.15381,46.66834,2.394077,59.221,65.20433,24.31626,10.72646,1.430392,0.4984595,0.8648056,1.234522,2.101642,1.236837,22.18209,11.44597,9.36479,7.48801,0.9658146,0.7696324,10.42773,0.4885168,-6.867407,-1.084772,-5.656536,-1.482808,-38.29294,-0.4403725,0.02788984,0.625771,1.491321,0.4972468,6.729669,0.5391748,13.42776,0.5593812,16.45527,0.3864971,834.1026,0.11705,1260.036,0.184478,-78.03819,-1.025182,1789.106,0.1012184,1051.114,0.1630554,-84.5143,-0.8380132,2646.656,0.04467659,944.3411,0.1159916,-83.94343,-0.8531452,-9.667517,-0.5696462,15.78452,0.4256489,0.08676416,0.1945355,-0.02839755,-0.3434743,1.317996,0.585732,10.02392,0.6517665,-6.57511,-1.185847,-6.524226,-1.31301,-43.91735,-0.2953698,-6.472113,13.97743,0.05302574,-0.017024,0.3542444,5.97015,8.196721,0.07,0.03224903,0.032,0.0116619,-15.83635
41.72257,0.08488911,40.60088,41.31491,42.54186,1.940983,70.59444,48.74046,87.92545,83.15068,1.109282,0.7765244,0.2839084,0.9707671,1.781397,1.497489,10.57634,4.414138,7.802022,3.029039,0.6931152,0.9653788,18.99159,0.4171367,-9.640588,-1.43072,4.996113,2.401251,-40.90968,-0.3463824,0.04592643,1.670149,1.370935,0.5171136,7.062505,0.5662359,9.668063,1.132245,17.50838,0.5528696,814.063,0.1355855,1197.704,0.1785397,-82.07481,-1.190179,1835.423,0.07146377,932.4453,0.2041285,-85.35854,-1.029603,2658.861,0.04207773,969.837,0.173419,-82.43711,-1.09097,-11.49213,-0.535571,16.80403,0.4381717,0.0679431,0.3270464,-0.04007534,-0.2282033,1.031161,0.6263115,17.72473,0.4949057,-16.0529,-0.8935689,0.8366837,15.90227,-46.56833,-0.2470269,-12.47159,18.16174,0.05428079,-0.02917331,0.1887481,2.013423,1.388889,0.44,0.24,0.25,0.15,-15.99373
39.27908,0.08014926,36.26149,38.96755,42.21873,5.957237,46.54092,21.58077,27.42001,5.654088,1.157258,0.5522648,0.6196017,1.037625,1.586577,0.9669754,10.61166,5.949951,10.44468,5.066029,0.6023762,0.7446908,18.98305,0.4545213,-0.9600775,-9.594428,8.474867,1.382876,-14.23536,-0.7906536,0.02792127,0.9539394,1.008775,0.6491404,9.560676,0.4007194,12.62948,0.6373007,20.02127,0.491898,734.6724,0.2346934,1394.885,0.1192281,-90.94208,-0.9880832,1699.596,0.1133221,1079.602,0.1838747,-89.30956,-0.9231943,2556.575,0.06023829,1028.717,0.2460882,-91.30012,-0.888046,-13.29859,-0.450102,22.41942,0.4462211,0.04637587,0.3189924,-0.02025411,-0.8149977,0.8153538,0.5327623,22.42704,0.3350206,-0.3032606,-34.702,11.41158,1.128853,-19.27705,-0.581775,-5.215177,14.29554,0.02118813,-0.00644875,0.2737654,4.255319,2.173913,0.28,0.2918219,0.1316667,0.0569844,-16.73035
40.98949,0.1279436,37.62429,38.17248,43.42024,5.795948,0.5708069,0,0,0,1.563659,0.3979991,1.10734,1.256877,2.210306,1.102966,-1.820737,8.388464,9.078693,0,1.488138,0.8160855,31.18639,0.09832029,-9.448902,-1.100872,-3.345021,-4.970055,-34.02821,-0.3049435,0.07927668,1.401203,1.317295,0.8292989,8.473157,0.400356,17.19847,0.6954152,27.31079,0.2264963,600.4891,0.3104578,1477.675,0.1198034,-74.37181,-0.9982435,1478.503,0.1301302,1202.276,0.1835117,-55.33551,-1.066537,2508.183,0.04637754,866.5958,0.1209224,-62.68166,-0.8821843,-12.49952,-0.6621224,27.77427,0.08848954,0.0743278,0.1544339,-0.01771577,-0.4670501,1.446706,0.8142302,31.48104,0.08143973,-5.808481,-1.816037,1.413944,12.74881,-31.33993,-0.2846184,-3.524397,22.71967,0.07574028,-0.01787251,2.249537,2.564103,6.060606,0.125,0.095,0.02,0,-12.84605
